student_ID,gender ,student_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,mean,median,standard_deviation,maximum,minimum,total_score,status(P/F),overall_performance
27,male,group B,partial college,standard,Incomplete,69,54,55,59.3,55.0,8.39,69,54,178,Pass,Average
28,female,group C,bachelor's degree,standard,Incomplete,67,69,75,70.3,69.0,4.16,75,67,211,Pass,Good
29,male,group C,high school,standard,Incomplete,70,70,65,68.3,70.0,2.89,70,65,205,Pass,Good
30,female,group D,master's degree,standard,Incomplete,62,70,75,69.0,70.0,6.56,75,62,207,Pass,Good
31,female,group D,partial college,standard,Incomplete,69,74,74,72.3,74.0,2.89,74,69,217,Pass,Good
32,female,group B,partial college,standard,Incomplete,63,65,61,63.0,63.0,2.00,65,61,189,Pass,Average
33,female,group E,master's degree,reduced,Incomplete,56,72,65,64.3,65.0,8.02,72,56,193,Pass,Average
34,male,group D,partial college,standard,Incomplete,40,42,38,40.0,40.0,2.00,42,38,120,Fail,Poor
35,male,group E,partial college,standard,Incomplete,97,87,82,88.7,87.0,7.64,97,82,266,Pass,Excellent
36,male,group E,associate's degree,standard,completed,81,81,79,80.3,81.0,1.15,81,79,241,Pass,Good
37,female,group D,associate's degree,standard,Incomplete,74,81,83,79.3,81.0,4.73,83,74,238,Pass,Good
38,female,group D,partial high school,reduced,Incomplete,50,64,59,57.7,59.0,7.09,64,50,173,Pass,Average
39,female,group D,associate's degree,reduced,completed,75,90,88,84.3,88.0,8.14,90,75,253,Pass,Excellent
40,male,group B,associate's degree,reduced,Incomplete,57,56,57,56.7,57.0,0.58,57,56,170,Pass,Average
41,male,group C,associate's degree,reduced,Incomplete,55,61,54,56.7,55.0,3.79,61,54,170,Pass,Average
42,female,group C,associate's degree,standard,Incomplete,58,73,68,66.3,68.0,7.64,73,58,199,Pass,Average
43,female,group B,associate's degree,standard,Incomplete,53,58,65,58.7,58.0,6.03,65,53,176,Pass,Average
44,male,group B,partial college,reduced,completed,59,65,66,63.3,65.0,3.79,66,59,190,Pass,Average
45,female,group E,associate's degree,reduced,Incomplete,50,56,54,53.3,54.0,3.06,56,50,160,Pass,Average
46,male,group B,associate's degree,standard,Incomplete,65,54,57,58.7,57.0,5.69,65,54,176,Pass,Average
47,female,group A,associate's degree,standard,completed,55,65,62,60.7,62.0,5.13,65,55,182,Pass,Average
48,female,group C,high school,standard,Incomplete,66,71,76,71.0,71.0,5.00,76,66,213,Pass,Good
49,female,group D,associate's degree,reduced,completed,57,74,76,69.0,74.0,10.44,76,57,207,Pass,Good
50,male,group C,high school,standard,completed,82,84,82,82.7,82.0,1.15,84,82,248,Pass,Good
51,male,group E,partial college,standard,Incomplete,53,55,48,52.0,53.0,3.61,55,48,156,Pass,Average
52,male,group E,associate's degree,reduced,completed,77,69,68,71.3,69.0,4.93,77,68,214,Pass,Good
53,male,group C,partial college,standard,Incomplete,53,44,42,46.3,44.0,5.86,53,42,139,Pass,Average
54,male,group D,high school,standard,Incomplete,88,78,75,80.3,78.0,6.81,88,75,241,Pass,Good
55,female,group C,partial high school,reduced,completed,71,84,87,80.7,84.0,8.50,87,71,242,Pass,Good
56,female,group C,high school,reduced,Incomplete,33,41,43,39.0,41.0,5.29,43,33,117,Fail,Poor
57,female,group E,associate's degree,standard,completed,82,85,86,84.3,85.0,2.08,86,82,253,Pass,Excellent
58,male,group D,associate's degree,standard,Incomplete,52,55,49,52.0,52.0,3.00,55,49,156,Pass,Average
59,male,group D,partial college,standard,completed,58,59,58,58.3,58.0,0.58,59,58,175,Pass,Average
60,female,group C,partial high school,reduced,Incomplete,0,17,10,9.0,10.0,8.54,17,0,27,Fail,Poor
61,male,group E,bachelor's degree,reduced,completed,79,74,72,75.0,74.0,3.61,79,72,225,Pass,Good
62,male,group A,partial high school,reduced,Incomplete,39,39,34,37.3,39.0,2.89,39,34,112,Fail,Poor
63,male,group A,associate's degree,reduced,Incomplete,62,61,55,59.3,61.0,3.79,62,55,178,Pass,Average
64,female,group C,associate's degree,standard,Incomplete,69,80,71,73.3,71.0,5.86,80,69,220,Pass,Good
65,female,group D,partial high school,standard,Incomplete,59,58,59,58.7,59.0,0.58,59,58,176,Pass,Average
66,male,group B,partial high school,standard,Incomplete,67,64,61,64.0,64.0,3.00,67,61,192,Pass,Average
67,male,group D,partial high school,reduced,Incomplete,45,37,37,39.7,37.0,4.62,45,37,119,Fail,Poor
68,female,group C,partial college,standard,Incomplete,60,72,74,68.7,72.0,7.57,74,60,206,Pass,Good
69,male,group B,associate's degree,reduced,Incomplete,61,58,56,58.3,58.0,2.52,61,56,175,Pass,Average
70,female,group C,associate's degree,standard,Incomplete,39,64,57,53.3,57.0,12.90,64,39,160,Fail,Average
71,female,group D,partial college,reduced,completed,58,63,73,64.7,63.0,7.64,73,58,194,Pass,Average
72,male,group D,partial college,standard,completed,63,55,63,60.3,63.0,4.62,63,55,181,Pass,Average
73,female,group A,associate's degree,reduced,Incomplete,41,51,48,46.7,48.0,5.13,51,41,140,Pass,Average
74,male,group C,partial high school,reduced,Incomplete,61,57,56,58.0,57.0,2.65,61,56,174,Pass,Average
75,male,group C,partial high school,standard,Incomplete,49,49,41,46.3,49.0,4.62,49,41,139,Pass,Average
76,male,group B,associate's degree,reduced,Incomplete,44,41,38,41.0,41.0,3.00,44,38,123,Fail,Poor
77,male,group E,partial high school,standard,Incomplete,30,26,22,26.0,26.0,4.00,30,22,78,Fail,Poor
78,male,group A,bachelor's degree,standard,completed,80,78,81,79.7,80.0,1.53,81,78,239,Pass,Good
79,female,group D,partial high school,standard,completed,61,74,72,69.0,72.0,7.00,74,61,207,Pass,Good
80,female,group E,master's degree,standard,Incomplete,62,68,68,66.0,68.0,3.46,68,62,198,Pass,Average
81,female,group B,associate's degree,standard,Incomplete,47,49,50,48.7,49.0,1.53,50,47,146,Pass,Average
82,male,group B,high school,reduced,Incomplete,49,45,45,46.3,45.0,2.31,49,45,139,Pass,Average
83,male,group A,partial college,reduced,completed,50,47,54,50.3,50.0,3.51,54,47,151,Pass,Average
84,male,group E,associate's degree,standard,Incomplete,72,64,63,66.3,64.0,4.93,72,63,199,Pass,Average
85,male,group D,high school,reduced,Incomplete,42,39,34,38.3,39.0,4.04,42,34,115,Fail,Poor
86,female,group C,partial college,standard,Incomplete,73,80,82,78.3,80.0,4.73,82,73,235,Pass,Good
87,female,group C,partial college,reduced,Incomplete,76,83,88,82.3,83.0,6.03,88,76,247,Pass,Good
88,female,group D,associate's degree,standard,Incomplete,71,71,74,72.0,71.0,1.73,74,71,216,Pass,Good
89,female,group A,partial college,standard,Incomplete,58,70,67,65.0,67.0,6.24,70,58,195,Pass,Average
90,female,group D,partial high school,standard,Incomplete,73,86,82,80.3,82.0,6.66,86,73,241,Pass,Good
91,female,group C,bachelor's degree,standard,Incomplete,65,72,74,70.3,72.0,4.73,74,65,211,Pass,Good
92,male,group C,high school,reduced,Incomplete,27,34,36,32.3,34.0,4.73,36,27,97,Fail,Poor
93,male,group C,high school,standard,Incomplete,71,79,71,73.7,71.0,4.62,79,71,221,Pass,Good
94,male,group C,associate's degree,reduced,completed,43,45,50,46.0,45.0,3.61,50,43,138,Pass,Average
95,female,group B,partial college,standard,Incomplete,79,86,92,85.7,86.0,6.51,92,79,257,Pass,Excellent
96,male,group C,associate's degree,reduced,completed,78,81,82,80.3,81.0,2.08,82,78,241,Pass,Good
97,male,group B,partial high school,standard,completed,65,66,62,64.3,65.0,2.08,66,62,193,Pass,Average
98,female,group E,partial college,standard,completed,63,72,70,68.3,70.0,4.73,72,63,205,Pass,Good
99,female,group D,partial college,reduced,Incomplete,58,67,62,62.3,62.0,4.51,67,58,187,Pass,Average
100,female,group D,bachelor's degree,standard,Incomplete,65,67,62,64.7,65.0,2.52,67,62,194,Pass,Average
101,male,group B,partial college,standard,Incomplete,79,67,67,71.0,67.0,6.93,79,67,213,Pass,Good
102,male,group D,bachelor's degree,standard,completed,68,74,74,72.0,74.0,3.46,74,68,216,Pass,Good
103,female,group D,associate's degree,standard,Incomplete,85,91,89,88.3,89.0,3.06,91,85,265,Pass,Excellent
104,male,group B,high school,standard,completed,60,44,47,50.3,47.0,8.50,60,44,151,Pass,Average
105,male,group C,partial college,standard,completed,98,86,90,91.3,90.0,6.11,98,86,274,Pass,Excellent
106,female,group C,partial college,standard,Incomplete,58,67,72,65.7,67.0,7.09,72,58,197,Pass,Average
107,female,group D,master's degree,standard,Incomplete,87,100,100,95.7,100.0,7.51,100,87,287,Pass,Excellent
108,male,group E,associate's degree,standard,completed,66,63,64,64.3,64.0,1.53,66,63,193,Pass,Average
109,female,group B,associate's degree,reduced,Incomplete,52,76,70,66.0,70.0,12.49,76,52,198,Pass,Average
110,female,group B,partial high school,standard,Incomplete,70,64,72,68.7,70.0,4.16,72,64,206,Pass,Good
111,female,group D,associate's degree,reduced,completed,77,89,98,88.0,89.0,10.54,98,77,264,Pass,Excellent
112,male,group C,high school,standard,Incomplete,62,55,49,55.3,55.0,6.51,62,49,166,Pass,Average
113,male,group A,associate's degree,standard,Incomplete,54,53,47,51.3,53.0,3.79,54,47,154,Pass,Average
114,female,group D,partial college,standard,Incomplete,51,58,54,54.3,54.0,3.51,58,51,163,Pass,Average
115,female,group E,bachelor's degree,standard,completed,99,100,100,99.7,100.0,0.58,100,99,299,Pass,Excellent
116,male,group C,high school,standard,Incomplete,84,77,74,78.3,77.0,5.13,84,74,235,Pass,Good
117,female,group B,bachelor's degree,reduced,Incomplete,75,85,82,80.7,82.0,5.13,85,75,242,Pass,Good
118,female,group D,bachelor's degree,standard,Incomplete,78,82,79,79.7,79.0,2.08,82,78,239,Pass,Good
119,female,group D,partial high school,standard,Incomplete,51,63,61,58.3,61.0,6.43,63,51,175,Pass,Average
120,female,group C,partial college,standard,Incomplete,55,69,65,63.0,65.0,7.21,69,55,189,Pass,Average
121,female,group C,bachelor's degree,standard,completed,79,92,89,86.7,89.0,6.81,92,79,260,Pass,Excellent
122,male,group B,associate's degree,standard,completed,91,89,92,90.7,91.0,1.53,92,89,272,Pass,Excellent
123,female,group C,partial college,standard,completed,88,93,93,91.3,93.0,2.89,93,88,274,Pass,Excellent
124,male,group D,high school,reduced,Incomplete,63,57,56,58.7,57.0,3.79,63,56,176,Pass,Average
125,male,group E,partial college,standard,Incomplete,83,80,73,78.7,80.0,5.13,83,73,236,Pass,Good
126,female,group B,high school,standard,Incomplete,87,95,86,89.3,87.0,4.93,95,86,268,Pass,Excellent
127,male,group B,partial high school,standard,Incomplete,72,68,67,69.0,68.0,2.65,72,67,207,Pass,Good
128,male,group D,partial college,standard,completed,65,77,74,72.0,74.0,6.24,77,65,216,Pass,Good
129,male,group D,master's degree,standard,Incomplete,82,82,74,79.3,82.0,4.62,82,74,238,Pass,Good
130,female,group A,bachelor's degree,standard,Incomplete,51,49,51,50.3,51.0,1.15,51,49,151,Pass,Average
131,male,group D,master's degree,standard,Incomplete,89,84,82,85.0,84.0,3.61,89,82,255,Pass,Excellent
132,male,group C,partial high school,reduced,completed,53,37,40,43.3,40.0,8.50,53,37,130,Fail,Average
133,male,group E,partial college,reduced,completed,87,74,70,77.0,74.0,8.89,87,70,231,Pass,Good
134,female,group C,partial college,standard,completed,75,81,84,80.0,81.0,4.58,84,75,240,Pass,Good
135,male,group D,bachelor's degree,reduced,completed,74,79,75,76.0,75.0,2.65,79,74,228,Pass,Good
136,male,group C,bachelor's degree,standard,Incomplete,58,55,48,53.7,55.0,5.13,58,48,161,Pass,Average
137,male,group B,partial high school,standard,completed,51,54,41,48.7,51.0,6.81,54,41,146,Pass,Average
138,male,group E,high school,standard,Incomplete,70,55,56,60.3,56.0,8.39,70,55,181,Pass,Average
139,female,group C,associate's degree,standard,Incomplete,59,66,67,64.0,66.0,4.36,67,59,192,Pass,Average
140,male,group D,partial college,standard,completed,71,61,69,67.0,69.0,5.29,71,61,201,Pass,Good
141,female,group D,partial high school,standard,Incomplete,76,72,71,73.0,72.0,2.65,76,71,219,Pass,Good
142,female,group C,partial college,reduced,Incomplete,59,62,64,61.7,62.0,2.52,64,59,185,Pass,Average
143,female,group E,partial college,reduced,completed,42,55,54,50.3,54.0,7.23,55,42,151,Pass,Average
144,male,group A,high school,standard,Incomplete,57,43,47,49.0,47.0,7.21,57,43,147,Pass,Average
145,male,group D,partial college,standard,Incomplete,88,73,78,79.7,78.0,7.64,88,73,239,Pass,Good
146,female,group C,partial college,reduced,Incomplete,22,39,33,31.3,33.0,8.62,39,22,94,Fail,Poor
147,male,group B,partial high school,standard,Incomplete,88,84,75,82.3,84.0,6.66,88,75,247,Pass,Good
148,male,group C,associate's degree,reduced,Incomplete,73,68,66,69.0,68.0,3.61,73,66,207,Pass,Good
149,female,group D,bachelor's degree,standard,completed,68,75,81,74.7,75.0,6.51,81,68,224,Pass,Good
150,male,group E,associate's degree,reduced,completed,100,100,93,97.7,100.0,4.04,100,93,293,Pass,Excellent
151,male,group A,partial high school,standard,completed,62,67,69,66.0,67.0,3.61,69,62,198,Pass,Average
152,male,group A,bachelor's degree,standard,Incomplete,77,67,68,70.7,68.0,5.51,77,67,212,Pass,Good
153,female,group B,associate's degree,standard,completed,59,70,66,65.0,66.0,5.57,70,59,195,Pass,Average
154,male,group D,bachelor's degree,standard,Incomplete,54,49,47,50.0,49.0,3.61,54,47,150,Pass,Average
155,male,group D,partial high school,standard,Incomplete,62,67,61,63.3,62.0,3.21,67,61,190,Pass,Average
156,female,group C,partial college,standard,completed,70,89,88,82.3,88.0,10.69,89,70,247,Pass,Good
157,female,group E,high school,reduced,completed,66,74,78,72.7,74.0,6.11,78,66,218,Pass,Good
158,male,group B,partial college,reduced,Incomplete,60,60,60,60.0,60.0,0.00,60,60,180,Pass,Average
159,female,group B,associate's degree,standard,completed,61,86,87,78.0,86.0,14.73,87,61,234,Pass,Good
160,male,group D,associate's degree,reduced,Incomplete,66,62,64,64.0,64.0,2.00,66,62,192,Pass,Average
161,male,group B,associate's degree,reduced,completed,82,78,74,78.0,78.0,4.00,82,74,234,Pass,Good
162,female,group E,partial college,reduced,completed,75,88,85,82.7,85.0,6.81,88,75,248,Pass,Good
163,male,group B,master's degree,reduced,Incomplete,49,53,52,51.3,52.0,2.08,53,49,154,Pass,Average
164,male,group C,high school,standard,Incomplete,52,53,49,51.3,52.0,2.08,53,49,154,Pass,Average
165,female,group E,master's degree,standard,Incomplete,81,92,91,88.0,91.0,6.08,92,81,264,Pass,Excellent
166,female,group C,bachelor's degree,standard,completed,96,100,100,98.7,100.0,2.31,100,96,296,Pass,Excellent
167,male,group C,high school,reduced,completed,53,51,51,51.7,51.0,1.15,53,51,155,Pass,Average
168,female,group B,master's degree,reduced,completed,58,76,78,70.7,76.0,11.02,78,58,212,Pass,Good
169,female,group B,high school,standard,completed,68,83,78,76.3,78.0,7.64,83,68,229,Pass,Good
170,female,group C,partial college,reduced,completed,67,75,70,70.7,70.0,4.04,75,67,212,Pass,Good
171,male,group A,high school,standard,completed,72,73,74,73.0,73.0,1.00,74,72,219,Pass,Good
172,male,group E,partial high school,standard,Incomplete,94,88,78,86.7,88.0,8.08,94,78,260,Pass,Excellent
173,female,group D,partial college,standard,Incomplete,79,86,81,82.0,81.0,3.61,86,79,246,Pass,Good
174,female,group C,associate's degree,standard,Incomplete,63,67,70,66.7,67.0,3.51,70,63,200,Pass,Good
175,female,group C,bachelor's degree,reduced,completed,43,51,54,49.3,51.0,5.69,54,43,148,Pass,Average
176,female,group C,master's degree,standard,completed,81,91,87,86.3,87.0,5.03,91,81,259,Pass,Excellent
177,female,group B,high school,reduced,completed,46,54,58,52.7,54.0,6.11,58,46,158,Pass,Average
178,female,group C,associate's degree,standard,completed,71,77,77,75.0,77.0,3.46,77,71,225,Pass,Good
179,female,group B,master's degree,reduced,completed,52,70,62,61.3,62.0,9.02,70,52,184,Pass,Average
180,female,group D,partial high school,standard,completed,97,100,100,99.0,100.0,1.73,100,97,297,Pass,Excellent
181,male,group C,master's degree,reduced,completed,62,68,75,68.3,68.0,6.51,75,62,205,Pass,Good
182,female,group C,partial college,reduced,Incomplete,46,64,66,58.7,64.0,11.02,66,46,176,Pass,Average
183,female,group E,high school,standard,Incomplete,50,50,47,49.0,50.0,1.73,50,47,147,Pass,Average
184,female,group D,associate's degree,standard,Incomplete,65,69,70,68.0,69.0,2.65,70,65,204,Pass,Good
185,male,group C,partial high school,reduced,completed,45,52,49,48.7,49.0,3.51,52,45,146,Pass,Average
186,male,group C,associate's degree,reduced,completed,65,67,65,65.7,65.0,1.15,67,65,197,Pass,Average
187,male,group E,high school,standard,Incomplete,80,76,65,73.7,76.0,7.77,80,65,221,Pass,Good
188,male,group D,partial high school,standard,completed,62,66,68,65.3,66.0,3.06,68,62,196,Pass,Average
189,male,group B,partial high school,reduced,Incomplete,48,52,45,48.3,48.0,3.51,52,45,145,Pass,Average
190,female,group C,bachelor's degree,standard,Incomplete,77,88,87,84.0,87.0,6.08,88,77,252,Pass,Excellent
191,female,group E,associate's degree,standard,Incomplete,66,65,69,66.7,66.0,2.08,69,65,200,Pass,Good
192,male,group D,partial college,standard,completed,76,83,79,79.3,79.0,3.51,83,76,238,Pass,Good
193,female,group B,partial high school,standard,Incomplete,62,64,66,64.0,64.0,2.00,66,62,192,Pass,Average
194,male,group D,partial college,standard,completed,77,62,62,67.0,62.0,8.66,77,62,201,Pass,Good
195,female,group C,master's degree,standard,completed,69,84,85,79.3,84.0,8.96,85,69,238,Pass,Good
196,male,group D,associate's degree,standard,Incomplete,61,55,52,56.0,55.0,4.58,61,52,168,Pass,Average
197,male,group C,partial high school,reduced,completed,59,69,65,64.3,65.0,5.03,69,59,193,Pass,Average
198,male,group E,high school,reduced,Incomplete,55,56,51,54.0,55.0,2.65,56,51,162,Pass,Average
199,female,group B,partial college,reduced,Incomplete,45,53,55,51.0,53.0,5.29,55,45,153,Pass,Average
200,female,group B,bachelor's degree,reduced,Incomplete,78,79,76,77.7,78.0,1.53,79,76,233,Pass,Good
201,female,group C,associate's degree,standard,completed,67,84,86,79.0,84.0,10.44,86,67,237,Pass,Good
202,female,group D,partial college,reduced,Incomplete,65,81,77,74.3,77.0,8.33,81,65,223,Pass,Good
203,male,group C,associate's degree,standard,Incomplete,69,77,69,71.7,69.0,4.62,77,69,215,Pass,Good
204,female,group B,associate's degree,standard,Incomplete,57,69,68,64.7,68.0,6.66,69,57,194,Pass,Average
205,male,group C,partial college,standard,Incomplete,59,41,42,47.3,42.0,10.12,59,41,142,Pass,Average
206,male,group D,partial high school,standard,completed,74,71,78,74.3,74.0,3.51,78,71,223,Pass,Good
207,male,group E,bachelor's degree,standard,Incomplete,82,62,62,68.7,62.0,11.55,82,62,206,Pass,Good
208,male,group E,high school,standard,completed,81,80,76,79.0,80.0,2.65,81,76,237,Pass,Good
209,female,group B,partial college,reduced,Incomplete,74,81,76,77.0,76.0,3.61,81,74,231,Pass,Good
210,female,group B,partial college,reduced,Incomplete,58,61,66,61.7,61.0,4.04,66,58,185,Pass,Average
211,male,group D,partial high school,reduced,completed,80,79,79,79.3,79.0,0.58,80,79,238,Pass,Good
212,male,group C,partial college,reduced,Incomplete,35,28,27,30.0,28.0,4.36,35,27,90,Fail,Poor
213,female,group C,high school,reduced,Incomplete,42,62,60,54.7,60.0,11.02,62,42,164,Pass,Average
214,male,group C,associate's degree,reduced,completed,60,51,56,55.7,56.0,4.51,60,51,167,Pass,Average
215,male,group E,high school,standard,completed,87,91,81,86.3,87.0,5.03,91,81,259,Pass,Excellent
216,male,group B,partial high school,standard,completed,84,83,75,80.7,83.0,4.93,84,75,242,Pass,Good
217,female,group E,associate's degree,reduced,completed,83,86,88,85.7,86.0,2.52,88,83,257,Pass,Excellent
218,female,group C,high school,reduced,Incomplete,34,42,39,38.3,39.0,4.04,42,34,115,Fail,Poor
219,male,group B,high school,reduced,Incomplete,66,77,70,71.0,70.0,5.57,77,66,213,Pass,Good
220,male,group B,partial high school,standard,completed,61,56,56,57.7,56.0,2.89,61,56,173,Pass,Average
221,female,group D,high school,standard,completed,56,68,74,66.0,68.0,9.17,74,56,198,Pass,Average
222,male,group B,associate's degree,standard,Incomplete,87,85,73,81.7,85.0,7.57,87,73,245,Pass,Good
223,female,group C,partial high school,reduced,Incomplete,55,65,62,60.7,62.0,5.13,65,55,182,Pass,Average
224,male,group D,partial high school,standard,Incomplete,86,80,75,80.3,80.0,5.51,86,75,241,Pass,Good
225,female,group B,associate's degree,standard,completed,52,66,73,63.7,66.0,10.69,73,52,191,Pass,Average
226,female,group E,master's degree,reduced,Incomplete,45,56,54,51.7,54.0,5.86,56,45,155,Pass,Average
227,female,group C,partial college,standard,Incomplete,72,72,71,71.7,72.0,0.58,72,71,215,Pass,Good
228,male,group D,high school,standard,Incomplete,57,50,54,53.7,54.0,3.51,57,50,161,Pass,Average
229,male,group A,partial high school,reduced,Incomplete,68,72,64,68.0,68.0,4.00,72,64,204,Pass,Good
230,female,group C,partial college,standard,completed,88,95,94,92.3,94.0,3.79,95,88,277,Pass,Excellent
231,male,group D,partial college,standard,Incomplete,76,64,66,68.7,66.0,6.43,76,64,206,Pass,Good
232,male,group C,associate's degree,standard,Incomplete,46,43,42,43.7,43.0,2.08,46,42,131,Pass,Average
233,female,group B,bachelor's degree,standard,Incomplete,67,86,83,78.7,83.0,10.21,86,67,236,Pass,Good
234,male,group E,partial high school,standard,Incomplete,92,87,78,85.7,87.0,7.09,92,78,257,Pass,Excellent
235,male,group C,bachelor's degree,standard,completed,83,82,84,83.0,83.0,1.00,84,82,249,Pass,Good
236,male,group D,associate's degree,standard,Incomplete,80,75,77,77.3,77.0,2.52,80,75,232,Pass,Good
237,male,group D,bachelor's degree,reduced,Incomplete,63,66,67,65.3,66.0,2.08,67,63,196,Pass,Average
238,female,group D,partial high school,standard,completed,64,60,74,66.0,64.0,7.21,74,60,198,Pass,Average
239,male,group B,partial college,standard,Incomplete,54,52,51,52.3,52.0,1.53,54,51,157,Pass,Average
240,male,group C,associate's degree,standard,Incomplete,84,80,80,81.3,80.0,2.31,84,80,244,Pass,Good
241,male,group D,high school,reduced,completed,73,68,66,69.0,68.0,3.61,73,66,207,Pass,Good
242,female,group E,bachelor's degree,standard,Incomplete,80,83,83,82.0,83.0,1.73,83,80,246,Pass,Good
243,female,group D,high school,standard,Incomplete,56,52,55,54.3,55.0,2.08,56,52,163,Pass,Average
244,male,group E,partial college,standard,Incomplete,59,51,43,51.0,51.0,8.00,59,43,153,Pass,Average
245,male,group D,partial high school,standard,Incomplete,75,74,69,72.7,74.0,3.21,75,69,218,Pass,Good
246,male,group C,associate's degree,standard,Incomplete,85,76,71,77.3,76.0,7.09,85,71,232,Pass,Good
247,male,group E,associate's degree,standard,Incomplete,89,76,74,79.7,76.0,8.14,89,74,239,Pass,Good
248,female,group B,high school,standard,completed,58,70,68,65.3,68.0,6.43,70,58,196,Pass,Average
249,female,group B,high school,standard,Incomplete,65,64,62,63.7,64.0,1.53,65,62,191,Pass,Average
250,male,group C,high school,standard,Incomplete,68,60,53,60.3,60.0,7.51,68,53,181,Pass,Average
251,male,group A,partial high school,standard,completed,47,49,49,48.3,49.0,1.15,49,47,145,Pass,Average
252,female,group D,partial college,reduced,Incomplete,71,83,83,79.0,83.0,6.93,83,71,237,Pass,Good
253,female,group B,partial high school,standard,completed,60,70,70,66.7,70.0,5.77,70,60,200,Pass,Good
254,male,group D,master's degree,standard,Incomplete,80,80,72,77.3,80.0,4.62,80,72,232,Pass,Good
255,male,group D,high school,standard,Incomplete,54,52,52,52.7,52.0,1.15,54,52,158,Pass,Average
256,female,group E,partial college,standard,Incomplete,62,73,70,68.3,70.0,5.69,73,62,205,Pass,Good
257,female,group C,associate's degree,reduced,Incomplete,64,73,68,68.3,68.0,4.51,73,64,205,Pass,Good
258,male,group C,associate's degree,standard,completed,78,77,77,77.3,77.0,0.58,78,77,232,Pass,Good
259,female,group B,partial college,standard,Incomplete,70,75,78,74.3,75.0,4.04,78,70,223,Pass,Good
260,female,group C,master's degree,reduced,completed,65,81,81,75.7,81.0,9.24,81,65,227,Pass,Good
261,female,group C,partial high school,reduced,completed,64,79,77,73.3,77.0,8.14,79,64,220,Pass,Good
262,male,group C,partial college,standard,completed,79,79,78,78.7,79.0,0.58,79,78,236,Pass,Good
263,female,group C,partial high school,reduced,Incomplete,44,50,51,48.3,50.0,3.79,51,44,145,Pass,Average
264,female,group E,high school,standard,Incomplete,99,93,90,94.0,93.0,4.58,99,90,282,Pass,Excellent
265,male,group D,high school,standard,Incomplete,76,73,68,72.3,73.0,4.04,76,68,217,Pass,Good
266,male,group D,partial high school,reduced,Incomplete,59,42,41,47.3,42.0,10.12,59,41,142,Pass,Average
267,female,group C,bachelor's degree,standard,Incomplete,63,75,81,73.0,75.0,9.17,81,63,219,Pass,Good
268,female,group D,high school,standard,Incomplete,69,72,77,72.7,72.0,4.04,77,69,218,Pass,Good
